Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmpYes,AcceptedCmp2,Complain,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntTotal
"? 58,138.00",No,No,58,? 635.00,? 88.00,? 546.00,? 172.00,? 88.00,? 88.00,3,8,10,4,7,No,No,No,No,No,No,Yes,63,2822,No,No,Yes,No,No,No,No,Yes,No,No,"? 1,529.00"
"? 46,344.00",Yes,Yes,38,? 11.00,? 1.00,? 6.00,? 2.00,? 1.00,? 6.00,2,1,1,2,5,No,No,No,No,No,No,No,66,2272,No,No,Yes,No,No,No,No,Yes,No,No,? 21.00
"? 71,613.00",No,No,26,? 426.00,? 49.00,? 127.00,? 111.00,? 21.00,? 42.00,1,8,2,10,4,No,No,No,No,No,No,No,55,2471,No,No,No,Yes,No,No,No,Yes,No,No,? 734.00
"? 26,646.00",Yes,No,26,? 11.00,? 4.00,? 20.00,? 10.00,? 3.00,? 5.00,2,2,0,4,6,No,No,No,No,No,No,No,36,2298,No,No,No,Yes,No,No,No,Yes,No,No,? 48.00
"? 58,293.00",Yes,No,94,? 173.00,? 43.00,? 118.00,? 46.00,? 27.00,? 15.00,5,5,3,6,5,No,No,No,No,No,No,No,39,2320,No,Yes,No,No,No,No,No,No,No,Yes,? 407.00
"? 62,513.00",No,Yes,16,? 520.00,? 42.00,? 98.00,? 0.00,? 42.00,? 14.00,2,6,4,10,6,No,No,No,No,No,No,No,53,2452,No,No,No,Yes,No,No,No,No,Yes,No,? 702.00
"? 55,635.00",No,Yes,34,? 235.00,? 65.00,? 164.00,? 50.00,? 49.00,? 27.00,4,7,3,7,6,No,No,No,No,No,No,No,49,2752,Yes,No,No,No,No,No,No,Yes,No,No,? 563.00
"? 33,454.00",Yes,No,32,? 76.00,? 10.00,? 56.00,? 3.00,? 1.00,? 23.00,2,4,0,4,8,No,No,No,No,No,No,No,35,2576,No,Yes,No,No,No,No,No,No,No,Yes,? 146.00
"? 30,351.00",Yes,No,19,? 14.00,? 0.00,? 24.00,? 3.00,? 3.00,? 2.00,1,3,0,2,9,No,No,No,No,No,No,Yes,46,2547,No,No,No,Yes,No,No,No,No,No,Yes,? 44.00
"? 5,648.00",Yes,Yes,68,? 28.00,? 0.00,? 6.00,? 1.00,? 1.00,? 13.00,1,1,0,0,20,Yes,No,No,No,No,No,No,70,2267,No,No,No,Yes,No,No,No,No,No,Yes,? 36.00
"? 7,500.00",No,No,59,? 6.00,? 16.00,? 11.00,? 11.00,? 1.00,? 16.00,1,2,0,3,8,No,No,No,No,No,No,No,44,2752,No,Yes,No,No,No,No,Yes,No,No,No,? 45.00
"? 63,033.00",No,No,82,? 194.00,? 61.00,? 480.00,? 225.00,? 112.00,? 30.00,1,3,4,8,2,No,No,No,No,No,No,No,61,2385,Yes,No,No,No,No,No,No,Yes,No,No,"? 1,072.00"
"? 59,354.00",Yes,Yes,53,? 233.00,? 2.00,? 53.00,? 3.00,? 5.00,? 14.00,3,6,1,5,6,No,No,No,No,No,No,No,68,2385,Yes,No,No,No,No,No,No,No,Yes,No,? 296.00
"? 17,323.00",No,No,38,? 3.00,? 14.00,? 17.00,? 6.00,? 1.00,? 5.00,1,1,0,3,8,No,No,No,No,No,No,No,33,2786,No,Yes,No,No,No,No,No,Yes,No,No,? 41.00
"? 82,800.00",No,No,23,"? 1,006.00",? 22.00,? 115.00,? 59.00,? 68.00,? 45.00,1,7,6,12,3,No,No,Yes,Yes,No,No,Yes,74,2741,No,No,Yes,No,No,No,No,No,No,Yes,"? 1,270.00"
"? 41,850.00",Yes,Yes,51,? 53.00,? 5.00,? 19.00,? 2.00,? 13.00,? 4.00,3,3,0,3,8,No,No,No,No,No,No,No,40,2711,No,Yes,No,No,No,No,No,Yes,No,No,? 92.00
"? 37,760.00",No,No,20,? 84.00,? 5.00,? 38.00,? 150.00,? 12.00,? 28.00,2,4,1,6,7,No,No,No,No,No,No,No,74,2826,No,No,No,Yes,No,No,No,Yes,No,No,? 289.00
"? 76,995.00",No,Yes,91,"? 1,012.00",? 80.00,? 498.00,? 0.00,? 16.00,? 176.00,2,11,4,9,5,No,No,No,Yes,No,No,No,71,2617,No,Yes,No,No,No,No,No,No,Yes,No,"? 1,606.00"
"? 33,812.00",Yes,No,86,? 4.00,? 17.00,? 19.00,? 30.00,? 24.00,? 39.00,2,2,1,3,6,No,No,No,No,No,No,No,35,2762,No,No,Yes,No,No,Yes,No,No,No,No,? 94.00
"? 37,040.00",No,No,41,? 86.00,? 2.00,? 73.00,? 69.00,? 38.00,? 48.00,1,4,2,5,8,No,No,No,No,No,No,No,38,2849,No,Yes,No,No,No,No,No,Yes,No,No,? 268.00
"? 2,447.00",Yes,No,42,? 1.00,? 1.00,"? 1,725.00",? 1.00,? 1.00,? 1.00,15,0,28,0,1,No,No,No,No,No,No,No,41,2698,No,Yes,No,No,No,No,No,Yes,No,No,"? 1,729.00"
"? 58,607.00",No,Yes,63,? 867.00,? 0.00,? 86.00,? 0.00,? 0.00,? 19.00,3,2,3,9,8,No,Yes,No,No,No,No,No,71,2712,No,Yes,No,No,No,No,No,No,No,Yes,? 953.00
"? 65,324.00",No,Yes,0,? 384.00,? 0.00,? 102.00,? 21.00,? 32.00,? 5.00,3,6,2,9,4,No,No,No,No,No,No,No,66,2328,No,Yes,No,No,No,No,No,No,No,Yes,? 539.00
"? 40,689.00",No,Yes,69,? 270.00,? 3.00,? 27.00,? 39.00,? 6.00,? 99.00,7,7,1,5,8,No,No,No,No,No,No,No,69,2627,No,No,No,Yes,No,No,No,Yes,No,No,? 345.00
"? 18,589.00",No,No,89,? 6.00,? 4.00,? 25.00,? 15.00,? 12.00,? 13.00,2,2,1,3,7,No,No,No,No,No,No,No,51,2702,No,No,Yes,No,No,No,No,Yes,No,No,? 62.00
"? 53,359.00",Yes,Yes,4,? 173.00,? 4.00,? 30.00,? 3.00,? 6.00,? 41.00,4,5,1,4,7,No,No,No,No,No,No,No,44,2557,No,Yes,No,No,No,No,No,Yes,No,No,? 216.00
"? 38,360.00",Yes,No,26,? 36.00,? 2.00,? 42.00,? 20.00,? 21.00,? 10.00,2,2,1,4,3,No,No,No,No,No,No,No,31,2553,No,Yes,No,No,No,No,No,Yes,No,No,? 121.00
"? 84,618.00",No,No,96,? 684.00,? 100.00,? 801.00,? 21.00,? 66.00,? 0.00,1,6,9,10,2,No,No,Yes,No,No,No,No,55,2378,No,Yes,No,No,No,No,No,No,No,Yes,"? 1,672.00"
"? 10,979.00",No,No,34,? 8.00,? 4.00,? 10.00,? 2.00,? 2.00,? 4.00,2,3,0,3,5,No,No,No,No,No,No,No,31,2197,Yes,No,No,No,No,No,No,No,Yes,No,? 26.00
"? 38,620.00",No,No,56,? 112.00,? 17.00,? 44.00,? 34.00,? 22.00,? 89.00,1,2,5,3,3,No,No,No,No,No,No,No,57,2573,No,No,No,Yes,No,No,No,No,Yes,No,? 229.00
"? 40,548.00",No,Yes,31,? 110.00,? 0.00,? 5.00,? 2.00,? 0.00,? 3.00,2,2,1,4,5,No,Yes,No,No,No,No,No,50,2786,No,No,No,Yes,No,No,No,Yes,No,No,? 117.00
"? 46,610.00",No,Yes,8,? 96.00,? 12.00,? 96.00,? 33.00,? 22.00,? 43.00,6,4,1,6,6,No,No,No,No,No,No,Yes,68,2767,Yes,No,No,No,No,No,No,No,No,Yes,? 259.00
"? 68,657.00",No,No,4,? 482.00,? 34.00,? 471.00,? 119.00,? 68.00,? 22.00,1,3,5,9,7,No,No,No,No,No,No,No,74,2653,No,Yes,No,No,No,No,No,No,Yes,No,"? 1,174.00"
